Gender,Has a car,Has a property,Income,Education level,Age,Employment length,Has a work phone,Has a phone,Has an email,Family member count,Is high risk,Marital status_Civil marriage,Marital status_Married,Marital status_Separated,Marital status_Single / not married,Marital status_Widow,Dwelling_Co-op apartment,Dwelling_House / apartment,Dwelling_Municipal apartment,Dwelling_Office apartment,Dwelling_Rented apartment,Dwelling_With parents,Job title_Accountants,Job title_Cleaning staff,Job title_Cooking staff,Job title_Core staff,Job title_Drivers,Job title_HR staff,Job title_High skill tech staff,Job title_IT staff,Job title_Laborers,Job title_Low-skill Laborers,Job title_Managers,Job title_Medicine staff,Job title_Private service staff,Job title_Realty agents,Job title_Sales staff,Job title_Secretaries,Job title_Security staff,Job title_Waiters/barmen staff,Employment status_Commercial associate,Employment status_Pensioner,Employment status_State servant,Employment status_Working
0,0,1,0.46623321544219004,1.0,57,0.0,0,0,0,0.6931471805599453,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,0,0.40083822641659655,1.0,38,4.4517453798767965,0,0,0,1.3862943611198906,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,1,0.6465986866563457,1.0,46,1.1143052703627652,0,1,1,1.3862943611198906,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0.4355846639338871,1.0,56,0.0,0,0,0,0.6931471805599453,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0.3607264450168445,1.0,43,1.7659137577002053,1,0,0,1.0986122886681098,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,0.46623321544219004,1.0,47,15.044490075290897,0,0,0,0.6931471805599453,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0,0,1,0.5991563216031449,4.0,34,7.581108829568788,0,0,0,1.0986122886681098,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,1,0.46623321544219004,1.0,49,8.380561259411362,0,0,0,0.6931471805599453,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0.3607264450168445,1.0,37,7.052703627652293,0,0,0,1.0986122886681098,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,0,0.5184501652440316,3.0,25,0.5311430527036276,1,0,1,1.3862943611198906,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0.3026620075192028,1.0,33,8.747433264887064,1,0,0,1.0986122886681098,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0.4603855087144481,3.0,67,0.0,0,0,0,1.0986122886681098,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,0,0.3607264450168445,1.0,63,0.0,0,1,0,1.0986122886681098,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,1,0.4355846639338871,1.0,42,3.2799452429842573,0,1,0,1.0986122886681098,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,1,0.581203514060315,3.0,50,7.655030800821355,0,0,0,1.0986122886681098,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,0.25521999583752664,1.0,58,0.0,0,0,0,1.0986122886681098,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0.5410915949829899,1.0,32,1.702943189596167,1,1,0,1.0986122886681098,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
